,market_date,company_symbol,headline,positive,negative,litigious,uncertainty,constraining,strong_modal,moderate_modal,weak_modal,sentiment_lib_avg,is_volatile
0,2012-05-17,A,agilent buy dako 2 2 billion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2012-05-18,A,dealbook online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2010-12-22,AAL,american airlines leaves orbitz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2011-01-03,AAL,american airlines barred safety board inquiry,0.0,1.8490813648293962,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,1
4,2011-01-05,AAL,american airlines fee battle web agencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3818,1
5,2011-02-11,AAL,search low airfares gets competitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1027,0
6,2011-03-08,AAL,flight here everywhere but new york ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,2011-03-16,AAL,airlines serving japan adjust schedules stops,0.0,0.9862204724409448,0.0,0.0,0.0,0.0,0.0,0.0,-0.1531,1
8,2011-04-05,AAL,expedia american fare agreement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,1
9,2011-04-12,AAL,renovation terminal keyed san francisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2011-04-14,AAL,american airlines sues ticket distribution,0.0,0.9402887139107612,0.9402887139107612,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2011-05-05,AAL,man another season   frank langella returning broadway man boy ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,2011-05-16,AAL,american offer streaming entertainment<s>american airlines tests in   flight streaming video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21075,1
13,2011-06-02,AAL,american airlines ordered put flight fares orbitz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2011-07-28,AAL,improved sales help boeing beat forecasts,0.9881889763779528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7003,1
15,2011-08-01,AAL,american airlines hopes b a merger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,1
16,2011-08-11,AAL,amr plans american eagle spinoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,2011-08-30,AAL,airlines fared hurricane irene test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
